cruise,type::cruise,datatype::cruise,xml:lang::cruise,cruise_id,type::cruise_id,datatype::cruise_id,xml:lang::cruise_id,doi,type::doi,datatype::doi,xml:lang::doi
http://data.rvdata.us/id/cruise/KM0211,uri,,,KM0211,literal,,,10.7284/903096,literal,,
http://data.rvdata.us/id/cruise/KM0306,uri,,,KM0306,literal,,,10.7284/901680,literal,,
http://data.rvdata.us/id/cruise/KM0315,uri,,,KM0315,literal,,,10.7284/903098,literal,,
http://data.rvdata.us/id/cruise/KM0321,uri,,,KM0321,literal,,,10.7284/903036,literal,,
http://data.rvdata.us/id/cruise/KM0325,uri,,,KM0325,literal,,,10.7284/903037,literal,,
http://data.rvdata.us/id/cruise/KM0408,uri,,,KM0408,literal,,,10.7284/903038,literal,,
http://data.rvdata.us/id/cruise/KM0508,uri,,,KM0508,literal,,,10.7284/903039,literal,,
http://data.rvdata.us/id/cruise/KM0513,uri,,,KM0513,literal,,,10.7284/903040,literal,,
http://data.rvdata.us/id/cruise/KM0515,uri,,,KM0515,literal,,,10.7284/903049,literal,,
http://data.rvdata.us/id/cruise/KM0517,uri,,,KM0517,literal,,,10.7284/903102,literal,,
http://data.rvdata.us/id/cruise/KM0519,uri,,,KM0519,literal,,,10.7284/903103,literal,,
http://data.rvdata.us/id/cruise/KM0601,uri,,,KM0601,literal,,,10.7284/903050,literal,,
http://data.rvdata.us/id/cruise/KM0605,uri,,,KM0605,literal,,,10.7284/901729,literal,,
http://data.rvdata.us/id/cruise/KM0608,uri,,,KM0608,literal,,,10.7284/903051,literal,,
http://data.rvdata.us/id/cruise/KM0611,uri,,,KM0611,literal,,,10.7284/903052,literal,,
http://data.rvdata.us/id/cruise/KM0614,uri,,,KM0614,literal,,,10.7284/903053,literal,,
http://data.rvdata.us/id/cruise/KM0617,uri,,,KM0617,literal,,,10.7284/903054,literal,,
http://data.rvdata.us/id/cruise/KM0621,uri,,,KM0621,literal,,,10.7284/903055,literal,,
http://data.rvdata.us/id/cruise/KM0624,uri,,,KM0624,literal,,,10.7284/903115,literal,,
http://data.rvdata.us/id/cruise/KM0627,uri,,,KM0627,literal,,,10.7284/903056,literal,,
http://data.rvdata.us/id/cruise/KM0630,uri,,,KM0630,literal,,,10.7284/903057,literal,,
http://data.rvdata.us/id/cruise/KM0633,uri,,,KM0633,literal,,,10.7284/903058,literal,,
http://data.rvdata.us/id/cruise/KM0705,uri,,,KM0705,literal,,,10.7284/903059,literal,,
http://data.rvdata.us/id/cruise/KM0707,uri,,,KM0707,literal,,,10.7284/902375,literal,,
http://data.rvdata.us/id/cruise/KM0709,uri,,,KM0709,literal,,,10.7284/903061,literal,,
http://data.rvdata.us/id/cruise/KM0714,uri,,,KM0714,literal,,,10.7284/903062,literal,,
http://data.rvdata.us/id/cruise/KM0717,uri,,,KM0717,literal,,,10.7284/903063,literal,,
http://data.rvdata.us/id/cruise/KM0722,uri,,,KM0722,literal,,,10.7284/903064,literal,,
http://data.rvdata.us/id/cruise/KM0724,uri,,,KM0724,literal,,,10.7284/903065,literal,,
http://data.rvdata.us/id/cruise/KM0801,uri,,,KM0801,literal,,,10.7284/903066,literal,,
http://data.rvdata.us/id/cruise/KM0802,uri,,,KM0802,literal,,,10.7284/903067,literal,,
http://data.rvdata.us/id/cruise/KM0806,uri,,,KM0806,literal,,,10.7284/903068,literal,,
http://data.rvdata.us/id/cruise/KM0811,uri,,,KM0811,literal,,,10.7284/903069,literal,,
http://data.rvdata.us/id/cruise/KM0813,uri,,,KM0813,literal,,,10.7284/903070,literal,,
http://data.rvdata.us/id/cruise/KM0815,uri,,,KM0815,literal,,,10.7284/903075,literal,,
http://data.rvdata.us/id/cruise/KM0820,uri,,,KM0820,literal,,,10.7284/903076,literal,,
http://data.rvdata.us/id/cruise/KM0822,uri,,,KM0822,literal,,,10.7284/903077,literal,,
http://data.rvdata.us/id/cruise/KM0824,uri,,,KM0824,literal,,,10.7284/903078,literal,,
http://data.rvdata.us/id/cruise/KM0902,uri,,,KM0902,literal,,,10.7284/903628,literal,,
http://data.rvdata.us/id/cruise/KM0907,uri,,,KM0907,literal,,,10.7284/903633,literal,,
http://data.rvdata.us/id/cruise/KM0915,uri,,,KM0915,literal,,,10.7284/903641,literal,,
http://data.rvdata.us/id/cruise/KM0918,uri,,,KM0918,literal,,,10.7284/903644,literal,,
http://data.rvdata.us/id/cruise/KM0920,uri,,,KM0920,literal,,,10.7284/903646,literal,,
http://data.rvdata.us/id/cruise/KM1012,uri,,,KM1012,literal,,,10.7284/903662,literal,,
http://data.rvdata.us/id/cruise/KM1015,uri,,,KM1015,literal,,,10.7284/903665,literal,,
http://data.rvdata.us/id/cruise/KM1017,uri,,,KM1017,literal,,,10.7284/903667,literal,,
http://data.rvdata.us/id/cruise/KM1019,uri,,,KM1019,literal,,,10.7284/903669,literal,,
http://data.rvdata.us/id/cruise/KM1101,uri,,,KM1101,literal,,,10.7284/903675,literal,,
http://data.rvdata.us/id/cruise/KM1102A,uri,,,KM1102A,literal,,,10.7284/903676,literal,,
http://data.rvdata.us/id/cruise/KM1108,uri,,,KM1108,literal,,,10.7284/903681,literal,,
http://data.rvdata.us/id/cruise/KM1113,uri,,,KM1113,literal,,,10.7284/903684,literal,,
http://data.rvdata.us/id/cruise/KM1120,uri,,,KM1120,literal,,,10.7284/903689,literal,,
http://data.rvdata.us/id/cruise/KM1124,uri,,,KM1124,literal,,,10.7284/903693,literal,,
http://data.rvdata.us/id/cruise/KM1127,uri,,,KM1127,literal,,,10.7284/903695,literal,,
http://data.rvdata.us/id/cruise/KM1131,uri,,,KM1131,literal,,,10.7284/903700,literal,,
http://data.rvdata.us/id/cruise/KM1205,uri,,,KM1205,literal,,,10.7284/903703,literal,,
http://data.rvdata.us/id/cruise/KM1213,uri,,,KM1213,literal,,,10.7284/903710,literal,,
http://data.rvdata.us/id/cruise/KM1216,uri,,,KM1216,literal,,,10.7284/903713,literal,,
http://data.rvdata.us/id/cruise/KM1218,uri,,,KM1218,literal,,,10.7284/903715,literal,,
http://data.rvdata.us/id/cruise/KM1220,uri,,,KM1220,literal,,,10.7284/903717,literal,,
http://data.rvdata.us/id/cruise/KM1223,uri,,,KM1223,literal,,,10.7284/903319,literal,,
